asn,cone_asns,cone_prefixes,cone_addresses
5503,3,22,800512
41059,97,1004,798976
8422,29,101,798208
17184,7,600,796160
790,1,17,795392
37440,1,36,794624
9389,1,15,794624
36974,8,295,792832
23201,21,445,787712
3354,1,14,786944
12400,74,304,786688
20773,19,1132,786176
24138,4,287,784896
23352,65,668,783616
14492,33,239,783360
5056,55,948,782080
33588,15,111,777984
23700,2,140,775424
32392,2,18,770304
17962,1,34,770048
28329,376,1655,765440
135061,2,106,764160
33490,59,151,763648
25255,2,22,761856
5378,3,16,759296
29119,97,1028,751104
549,17,106,744704
33659,98,234,743424
15296,37,201,742400
1241,54,214,736512
45011,16,187,734720
59703,44,336,733952
16097,40,156,733952
803,19,122,732416
42525,106,382,731392
19773,1,117,730624
6855,30,98,729856
20771,67,387,729344
38322,1,86,729088
386,1,41,729088
60280,80,554,728320
60330,79,534,727296
13293,137,497,727040
41313,83,846,724224
1767,6,79,722688
10282,2,91,721920
45102,1,329,721152
13789,138,541,721152
12695,152,708,719872
11796,40,186,718848
33651,156,441,718592
20978,1,171,716288
8100,49,704,714240
9901,61,357,712960
16586,1,127,712192
4557,11,89,709888
4193,2,34,709888
7122,18,91,708352
31200,10,52,705024
5645,14,114,700672
38022,34,133,700416
15576,104,376,697088
33070,2,95,696832
57344,145,1452,695808
13977,50,1122,693504
18978,2,241,689408
29355,2,91,689152
87,1,12,688384
12179,82,530,686336
7522,10,79,685568
12912,7,32,684544
7562,8,875,684288
3249,44,179,684288
8926,46,291,682752
11992,34,1033,680704
47605,92,269,679680
16265,9,405,678400
391,1,144,677632
42708,121,780,676864
31822,1,13,676096
29314,72,304,675584
8190,12,97,675584
37374,5,38,675072
27988,105,2305,672512
8386,2,533,672000
52376,101,2291,669184
23473,13,311,666368
13979,7,130,666112
1251,14,170,664832
9845,4,749,663552
15932,9,122,661504
2110,38,149,660224
21385,62,234,659968
7049,153,1697,658688
7726,1,31,658432
12883,181,724,658176
497,1,19,657152
7617,23,263,653824
21021,20,72,651776
46606,2,86,647424
42610,31,88,645888
17228,13,81,643072
5518,76,253,641024
1836,30,114,640256
491,1,111,638720
37140,2,32,636928
11714,9,55,636928
32440,18,144,636672
6306,5,89,635392
1968,8,96,634368
27747,1,175,633344
10834,71,396,632320
4721,1,162,631808
42861,180,666,631296
24547,2,77,631040
53889,11,582,630784
11260,36,174,630528
41164,3,50,629248
30110,5,29,625920
395954,2,182,624128
200507,12,98,624128
2500,10,22,622848
13649,104,606,621568
38266,1,192,620032
38661,1,147,619520
21976,12,138,616960
21575,5,140,616704
14522,2,162,615936
45271,1,712,615680
8365,7,29,615424
13037,9,38,612096
42961,3,202,611840
44581,9,261,611584
132876,57,716,609792
8517,17,204,608256
4436,12,215,603136
26613,17,734,602880
11758,37,438,602624
27947,33,461,601856
6122,11,42,599808
45489,22,370,596992
36375,1,14,596992
21195,21,117,596736
14977,1,16,595200
50245,6,55,594688
12066,7,204,594432
41798,127,1046,593408
15897,1,283,591872
35908,5,903,591360
58463,210,1673,590848
7011,3,577,590336
2897,1,5,590080
53006,1,8,589824
9908,3,100,589824
55430,1,1255,586240
11888,10,128,585472
3308,33,135,583680
10912,68,441,583424
3212,58,156,582656
17908,1,237,580864
8468,58,205,580608
42337,104,825,579584
13591,12,385,575232
1901,1,18,573440
19024,69,293,570880
23947,215,1507,570624
15600,18,104,570624
12357,48,456,570624
31025,72,453,568064
19957,1,28,565504
37084,41,292,564736
6332,4,49,563968
23655,42,424,563712
25899,64,422,560384
8030,2,270,560384
40387,8,18,558592
23650,7,713,556544
23498,76,426,556544
23005,150,431,556288
15704,33,268,556032
28598,241,1086,555776
55441,3,135,555264
14135,10,49,551168
24748,94,239,550912
19169,11,128,550400
17803,1,284,549376
63008,10,329,548864
12975,35,504,547328
19092,44,477,547072
17306,9,208,547072
3701,9,28,545536
12306,24,80,545024
9723,20,228,543488
440,1,24,542976
17379,2,14,542720
4670,8,229,542208
62904,1,535,539648
39603,3,17,537088
387,1,67,536064
9534,18,131,535296
38195,94,687,534528
6262,1,29,534016
133414,3,68,532992
37154,1,37,532736
4621,46,731,531712
12042,57,241,530944
18747,63,913,530432
33667,122,292,530176
23148,52,428,530176
45069,1,696,529152
60339,1,20,528384
46652,1,128,527360
37119,3,36,526592
64050,12,946,526336
44546,1,11,526336
3598,1,18,526336
13325,1,7,524544
62567,1,573,524288
24139,1,71,524288
393406,1,121,524032
11290,24,175,522752
6071,1,147,521728
13101,28,140,521472
3662,11,149,521216
6661,51,378,520960
5078,18,125,519424
5050,14,59,518400
28509,2,511,516096
201053,270,645,515328
35753,60,403,515328
19994,1,73,513024
7568,94,756,509440
12876,1,13,507904
56042,2,47,507136
9286,19,305,506624
37468,45,260,506368
23771,1,11,505856
8308,82,134,504320
12334,4,42,502272
10396,26,178,501760
35805,48,247,498944
56047,1,98,498688
22192,1,107,498176
2681,7,142,497664
2675,6,142,497664
15659,4,23,496640
36149,37,209,495616
28146,169,947,494336
2715,5,84,494336
557,4,29,494336
8001,25,122,494080
7725,63,223,493824
8953,114,377,492544
201776,114,546,492288
28368,234,1169,491520
1742,4,23,490752
40220,6,52,490496
14840,222,1050,488960
14117,4,637,488960
28024,4,100,488448
25291,62,185,486912
9689,4,129,484864
17924,4,109,483328
62600,5,45,482048
42020,112,1254,480768
16322,41,247,480768
40581,11,33,479744
10753,22,325,479488
3302,47,231,479488
26592,140,546,478976
17477,19,186,478976
25513,15,58,477440
6517,28,251,477440
21769,2,82,477184
17561,5,41,476160
4750,82,597,475136
6471,26,841,474880
28032,12,147,474624
48858,121,543,473344
20960,54,140,468736
10133,53,370,468736
29226,204,581,467968
12189,46,460,467968
28716,82,311,465664
50673,115,851,465408
263444,189,938,464640
37133,1,65,463872
17547,25,283,463360
328065,1,8,463104
327693,15,887,463104
37130,1,24,462592
37705,1,22,461824
15994,67,145,461312
37179,63,364,460800
16473,3,10,460800
10782,1,19,460800
12816,1,10,460544
8595,138,367,460544
14477,12,112,460288
18592,8,213,459264
28006,7,656,459008
20860,35,286,458752
13760,56,421,458240
2107,6,25,457728
3372,3,107,457472
23889,7,357,457216
15502,3,47,457216
134548,1,429,456192
18678,59,1175,456192
202109,1,363,455680
12392,9,131,455168
7671,1,61,453632
11956,7,110,453376
3477,6,108,453120
13004,59,357,452096
11798,21,315,452096
2495,12,30,451328
29571,17,524,450048
27046,1,406,450048
9811,2,43,448256
37981,1,108,448000
55286,1,336,447744
53237,127,746,444672
58470,28,807,444416
39608,17,106,444416
13490,15,71,443904
14325,14,66,443392
745,7,69,443136
3999,1,9,442880
6648,23,327,440576
10437,11,36,440320
12406,41,350,439296
19009,34,170,439040
63949,2,374,438784
17968,1,45,438272
17494,107,792,436992
4802,5,257,436736
11686,8,56,436480
37611,2,826,436224
11081,27,186,435200
3385,9,57,434688
7381,49,429,434432
27715,46,209,434176
12929,2,10,434176
57218,2,138,433920
8342,37,141,433408
5541,97,637,433152
58552,177,1543,432896
34224,139,883,432128
25441,1,75,432128
27680,1,24,431616
27085,1,28,431360
13110,58,157,430848
14638,4,674,430336
8448,1,8,430080
4768,31,236,430080
3766,3,8,430080
49544,44,238,427776
29518,31,131,427264
10466,3,18,427264
6659,2,22,426496
17,1,12,426240
34419,2,44,425472
9365,3,21,424960
6900,3,72,424704
12849,13,290,424192
9503,61,307,423424
4544,2,29,422144
22652,86,473,421888
39642,8,32,420096
47524,1,337,418816
12350,6,30,418048
12663,1,181,417792
1930,8,73,417792
12779,42,205,417280
797,2,60,416768
30990,10,241,416512
63711,1,89,416000
6660,15,97,414464
6059,9,19,414464
7782,22,103,413952
4782,1,52,413696
13188,5,1623,413440
2874,2,41,413184
17853,1,211,412928
12513,1,19,412672
13124,12,284,412416
12978,4,215,411392
28885,6,181,411136
15830,88,376,410880
4668,1,71,410880
6559,5,11,410624
10091,1,212,409600
9497,2,95,407552
12586,47,613,407040
29863,19,90,406272
46435,12,50,405504
12615,41,416,405504
21859,16,437,405248
18809,4,271,404992
9814,2,113,404992
4773,1,113,404736
21497,72,163,403200
27995,2,33,402688
37251,1,25,402432
6821,16,121,401664
11663,2,20,401152
38019,2,103,400384
1503,1,16,400128
28663,160,545,399872
8346,9,127,399872
2857,3,17,399872
20632,79,201,399104
17055,1,24,398592
132525,2,41,396032
32,3,5,395520
15854,1,13,395264
56258,136,1403,394496
3136,1,9,393984
12291,1,14,393728
9293,35,471,393472
1942,1,7,393472
292,3,4,393472
45177,123,556,393216
5615,1,7,393216
1715,1,6,393216
357,1,6,393216
40498,13,84,391936
15964,13,228,390400
15395,1,30,390144
15589,37,129,389120
28303,50,405,388352
17841,22,690,388096
7459,33,427,387840
4704,3,26,387584
19271,57,406,386816
18182,2,84,386560
45147,152,1240,386048
9802,2,54,386048
42000,54,147,384768
8615,49,107,384512
17054,43,196,384256
11259,23,80,384000
4818,2,26,382464
60781,1,179,381952
8262,93,744,381440
48276,95,390,381184
27364,8,87,381184
26794,24,389,381184
54489,7,55,380672
49100,38,345,380416
647,1,150,379392
1998,3,17,378880
60725,50,302,378624
50810,9,79,378624
39927,3,26,378368
20454,29,297,378112
58593,1,28,377856
11022,1,8,377856
1452,1,10,377856
25472,10,84,377344
29247,1,21,377088
20312,5,15,377088
1464,1,24,376320
11845,20,185,375040
18081,2,44,374784
21283,40,68,374528
3327,93,314,374528
13367,55,144,373248
14745,55,352,371712
22911,73,250,370688
19551,82,868,369920
33657,97,207,368896
15305,55,209,368640
8047,16,102,365056
12969,16,43,364800
11272,30,257,363264
22995,2,167,363008
3680,1,19,363008
15516,1,13,361472
58541,7,53,360704
21127,82,351,360192
52468,59,695,359424
13156,12,115,359424
3252,201,414,358912
19165,3,32,358656
16010,36,170,358400
37282,82,345,357888
37558,5,141,356864
62067,10,146,355584
513,5,26,355072
10089,33,566,354304
199599,115,845,353792
58587,156,822,353280
58717,178,1222,352000
53062,155,855,351232
205906,57,661,350464
6223,13,121,349952
31252,32,144,348928
17444,14,435,348928
5738,22,166,347648
54600,3,60,347392
21299,11,888,347392
6407,7,338,347392
7311,18,75,346880
12182,108,503,346112
4609,5,91,346112
19740,13,631,345856
3464,4,58,345856
611,1,60,345856
327782,44,293,345344
131596,1,457,345088
16397,116,466,344832
48161,35,474,344576
26577,1,16,344064
9931,45,717,343808
38283,5,586,343296
25180,46,137,342528
12180,35,317,342528
12025,49,286,342528
5388,1,15,342528
34397,4,63,340992
15744,28,158,340992
46832,4,19,339712
2665,5,134,339456
28840,8,207,339200
7533,10,114,339200
35699,41,486,338944
17139,12,625,338944
2688,5,50,338176
8697,15,857,337920
46749,4,6,337152
36914,3,283,336384
3527,1,27,336128
21413,43,129,335872
